actor_episodes,actor_steps,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,policy_loss
28455,80191,0.47861508,4605,11880,32770,2190.173015832901,0.45339727
28472,80236,0.34084183,4606,11882,32795,2191.3199508190155,0.45516407
28494,80300,0.41065657,4607,11884,32815,2192.460031270981,0.43848592
28510,80343,0.33367974,4608,11886,32835,2193.563198328018,0.37461412
28525,80385,0.35440528,4609,11888,32856,2194.677675485611,0.43796128
28541,80429,0.43626228,4609,11888,32877,2195.8468902111053,0.32217777
28558,80477,0.31434762,4611,11892,32903,2196.9522087574005,0.32288778
28583,80547,0.3508008,4612,11894,32926,2198.0991830825806,0.41513222
28602,80592,0.33016205,4613,11896,32945,2199.208368062973,0.4011012
28641,80698,0.36595702,4615,11900,32965,2200.373753786087,0.4419914
28655,80736,0.49037847,4616,11902,32987,2201.478281021118,0.43358573
28680,80800,0.35913935,4616,11902,33008,2202.636347770691,0.40561843
28692,80836,0.36953372,4618,11906,33029,2203.737511396408,0.4044416
28710,80887,0.38224733,4619,11908,33047,2204.9150795936584,0.42849606
28728,80935,0.4426149,4619,11908,33069,2206.1017830371857,0.4139664
28743,80975,0.30353045,4619,11908,33090,2207.3374185562134,0.44279397
28765,81038,0.31953794,4621,11912,33112,2208.6009850502014,0.46142316
28790,81109,0.30385637,4623,11916,33134,2209.7883336544037,0.39647794
28808,81156,0.36125058,4624,11918,33154,2210.930009126663,0.42724103
28818,81185,0.40538493,4625,11920,33176,2212.035814523697,0.30785626
28837,81241,0.30647916,4625,11920,33196,2213.1395790576935,0.41490728
28854,81288,0.36309984,4626,11922,33212,2214.373620033264,0.4230588
28870,81328,0.36578113,4627,11924,33232,2215.529889822006,0.3453599
28883,81368,0.35772163,4628,11926,33250,2216.6509144306183,0.3410668
28898,81410,0.4086231,4630,11930,33269,2217.8378047943115,0.2944209
28915,81454,0.32395917,4630,11930,33293,2218.941368818283,0.42566344
28935,81508,0.44988108,4632,11934,33312,2220.0721819400787,0.34323186
28954,81562,0.35441583,4633,11936,33332,2221.225291967392,0.4075666
28961,81582,0.3393939,4634,11938,33356,2222.3380467891693,0.4452365
28985,81650,0.33911157,4635,11940,33371,2223.445458173752,0.44874293
29006,81708,0.3427128,4636,11942,33394,2224.615333557129,0.43084067
29036,81788,0.41229233,4638,11946,33409,2225.7767100334167,0.42960218
29052,81829,0.29286152,4639,11948,33428,2226.9108641147614,0.41095042
29065,81872,0.38528067,4639,11948,33446,2228.05206990242,0.41709435
29079,81913,0.3368601,4640,11950,33471,2229.1564280986786,0.43765
29093,81955,0.32878277,4641,11952,33486,2230.2673614025116,0.43839577
29108,81999,0.34121233,4641,11952,33504,2231.5530648231506,0.43087155
29119,82032,0.4280978,4643,11956,33527,2232.693199157715,0.41607326
29141,82092,0.3445145,4645,11960,33550,2234.0170273780823,0.45018172
29156,82136,0.3091418,4645,11960,33578,2235.2016587257385,0.4213141
29193,82239,0.42468274,4648,11966,33597,2236.5577869415283,0.42923984
29213,82294,0.40280864,4649,11968,33622,2237.8088812828064,0.43305838
29225,82326,0.3333847,4649,11968,33638,2238.9597816467285,0.4494316
29238,82361,0.30135587,4651,11972,33662,2240.117961883545,0.43627068
29261,82422,0.3600544,4651,11972,33681,2241.2241492271423,0.4113255
29275,82465,0.30225232,4653,11976,33700,2242.3307569026947,0.42488152
29292,82512,0.3647967,4653,11976,33718,2243.438796043396,0.42453527
29305,82544,0.49665257,4655,11980,33740,2244.5618393421173,0.43736762
29322,82594,0.33619606,4656,11982,33765,2245.791805267334,0.44522005
29342,82651,0.3253887,4657,11984,33785,2246.9049808979034,0.42310315
29364,82711,0.35181552,4658,11986,33806,2248.0051889419556,0.42879215
29390,82781,0.3945882,4660,11990,33825,2249.2047102451324,0.44536507
29411,82838,0.34931684,4661,11992,33846,2250.358263731003,0.428774
29428,82885,0.41365016,4661,11992,33865,2251.4978868961334,0.44343698
29445,82936,0.279669,4663,11996,33885,2252.6455557346344,0.4220268
29465,82990,0.32976633,4663,11996,33908,2253.932097196579,0.34463096
29477,83023,0.283985,4664,11998,33928,2255.270257949829,0.4345417
29494,83071,0.3995461,4666,12002,33952,2256.4045355319977,0.42618218
29507,83109,0.32670218,4666,12002,33968,2257.554302215576,0.40053362
29525,83160,0.317369,4669,12011,33991,2258.6572625637054,0.41058156
29539,83198,0.28946263,4672,12020,34014,2259.7576756477356,0.31008995
29557,83252,0.35846728,4675,12029,34032,2260.948076248169,0.3652756
29594,83359,0.3921578,4681,12047,34057,2262.06827712059,0.38872853
29612,83410,0.40289915,4681,12047,34079,2263.2082607746124,0.3219044
29629,83458,0.40451247,4684,12056,34096,2264.394474029541,0.31361595
29640,83495,0.31413028,4687,12065,34117,2265.648900985718,0.35810012
29661,83552,0.40897167,4690,12074,34140,2266.7927408218384,0.32405153
29675,83592,0.29806823,4693,12083,34160,2268.0072906017303,0.36637026
29689,83636,0.35100365,4693,12083,34183,2269.165055513382,0.34462827
29702,83671,0.31827837,4696,12092,34205,2270.2826478481293,0.31968594
29720,83726,0.4113673,4698,12098,34229,2271.39111328125,0.363757
29734,83770,0.36291528,4701,12107,34246,2272.491604089737,0.3469418
29756,83828,0.36547258,4704,12116,34265,2273.641214609146,0.35625464
29769,83866,0.48046803,4704,12116,34290,2274.794335603714,0.33235663
29804,83970,0.33174464,4709,12131,34313,2275.9520602226257,0.33173648
29815,84003,0.3517893,4711,12137,34328,2277.0543978214264,0.35224324
29834,84062,0.34176937,4714,12146,34351,2278.194195985794,0.35919985
29849,84101,0.3522749,4717,12155,34368,2279.3370378017426,0.3594636
29868,84153,0.43008918,4719,12161,34389,2280.4539008140564,0.3575856
29877,84181,0.36567825,4721,12167,34404,2281.7748527526855,0.30663136
29891,84224,0.36085248,4724,12176,34424,2282.9285702705383,0.37947264
29906,84265,0.36786303,4724,12176,34444,2284.098212003708,0.32426104
29925,84317,0.41917446,4727,12185,34465,2285.221399784088,0.37411314
29938,84351,0.3798055,4730,12194,34484,2286.436996936798,0.3238771
29955,84398,0.38740772,4733,12203,34509,2287.5715370178223,0.34067944
29983,84480,0.38609985,4737,12215,34525,2288.7897996902466,0.33575055
